productId,title,description,uom,pricing.price,Image,Walmart,Zehrs,Freshco,Food Basics,Canadian Superstore,Farahs,No Frills
20091825001_EA,Cilantro,Cilantro is the bunched leafy green from the coriander plant. It has a distinctive flavour and fragrance that some describe as “soapy”.  Both the leaves and stems can be used raw or cooked in a variety of dishes. Cilantro works especially well with spicy food. Try it with curry chicken or add some to salsa with a little lime.,EA,0.75,https://assets.shop.loblaws.ca/products/20091825001/b2/en/front/20091825001_front_a06_@2.png,0.7,0.66,0.62,0.7,0.71,0.62,0.66
20143381001_KG,Roma Tomatoes,"Roma (or plum) tomatoes are egg-shaped  and narrow with a thick red skin and meaty texture. Because they have few seeds and a sweet flavour, Roma tomatoes are a popular choice for making tomato paste and sauce. They can also be used raw in salads or roasted for lasagna and pasta.",KG,0.66,https://assets.shop.loblaws.ca/products/20143381001/b2/en/front/20143381001_front_a06_@2.png,0.61,0.58,0.55,0.61,0.63,0.54,0.58
20179038001_KG,Ginger,"Ginger (or gingerroot) has a tough tan skin and a fresh spicy fragrance. Ginger can be grated, slivered, or ground and its peppery flavour is used in a variety of dishes. Dried ground ginger has a very different taste and is not a suitable replacement for fresh. Peel gingerroot and add fresh to dressings and marinades, or cook in a stir-fry or soup.",KG,0.92,https://assets.shop.loblaws.ca/products/20179038001/b2/en/front/20179038001_front_a06_@2.png,0.86,0.81,0.76,0.86,0.87,0.75,0.81
21004355001_EA,"Garlic Bulbs, 3-count","<p>Don't forget to add Garlic Bulbs to your weekly shopping list. The pack includes 3 bulbs, so you'll always be prepared when you make soups, stews, pizza, or your favourite stir fry.</p>",EA,0.88,https://assets.shop.loblaws.ca/products/21004355001/b2/en/front/21004355001_front_a06_@2.png,0.82,0.77,0.73,0.82,0.84,0.72,0.77
20135581001_KG,Colossal Garlic,"Garlic has a plump bulb (or head) of individual cloves each covered with a thin skin that can be peeled. Heads of garlic can be roasted whole and the individual cloves can be crushed, chopped, pressed, puréed, or sliced. Try eating fresh parsley after a meal containing garlic to help control odour.",KG,1.21,https://assets.shop.loblaws.ca/products/20135581001/b2/en/front/20135581001_front_a06_@2.png,1.13,1.06,1.0,1.13,1.15,0.99,1.06
20059635001_EA,Mango,"Mangoes have a firm, fibrous orange flesh and sweet flavour. Their skin is typically greenish-yellow with a red blush covering most of it, but colour isn’t a reliable way of way of testing for ripeness. Instead, squeeze the mango gently. If it’s ripe it will give slightly. Enjoy mango on its own, in fruit salad, or chutney.",EA,1.79,https://assets.shop.loblaws.ca/products/20059635001/b2/en/front/20059635001_front_a06_@2.png,1.66,1.58,1.49,1.66,1.7,1.47,1.58
20088387001_KG,Jalapeno Peppers,"Jalapeno peppers are slightly rounded chilies with smooth green skin that turns red when ripe. Jalapenos are popular because of their flavour and because they are easy to seed. Add jalapeno peppers to sauces and salsas. Scoville scale rating of 2,500 – 8,000.",KG,0.55,https://assets.shop.loblaws.ca/products/20088387001/b2/en/front/20088387001_front_a06_@2.png,0.51,0.48,0.46,0.51,0.52,0.45,0.48
20962518_EA,"Milk, 2%","Dairyland's 2% milk is a partly skimmed, fortified beverage, enriched with Vitamins A and D. Great for making a creamy smoothie or a frothy cup of cappuccino.",EA,5.55,https://assets.shop.loblaws.ca/products/20962518/b2/en/front/20962518_front_a06_@2.png,5.16,4.88,4.61,5.16,5.27,4.55,4.88
21547034_EA,Ritz Original Crackers,"<p>RITZ is a classic cracker loved by Canadians and shared amongst family and friends. This rich and buttery tasting, flaky, melt in your mouth cracker is ideal for pairing with a variety of toppings like cheese, meat, dips or spreads. A taste of welcome.</p><ul><li>One 180 g box of CHRISTIE RITZ Original snacking crackers</li><li>Rich and buttery tasting, flaky, melt in your mouth crackers</li><li>This classic cracker is great for pairing with a variety of toppings like cheese, meat, dips or spreads</li><li>Perfect crackers for snacks & appetizers</li><li>A taste of welcome</li></ul>",EA,3.99,https://assets.shop.loblaws.ca/products/21547034/b2/en/front/21547034_front_a06_@2.png,3.71,3.51,3.31,3.71,3.79,3.27,3.51
20788443_EA,"Bread, French",<p>Authentic French crusty-style bread with a chewy golden crust and light interior.</p><p><br></p><p>Fresh in-store baked bread.</p><p><br></p><p>Please specify your option for sliced or unsliced in the instruction box.</p>,EA,1.25,https://assets.shop.loblaws.ca/products/20788443/b2/en/front/20788443_front_a06_@2.png,1.16,1.1,1.04,1.16,1.19,1.03,1.1
20316026002_EA,Bottle,"Soda. Pop. Soft drink. Sparkling beverage. Carbonated drink.Whatever you call it, nothing compares to the refreshing, crisp taste of Coca-Cola®, the delicious soda you know and love. Enjoy with friends, on the go or with a meal. Whatever the occasion, wherever you are, Coca-Cola® makes life’s special moments a little bit better.Since 1886, its great taste has stood the test of time. Something so delicious, so unique and so familiar, it’s what makes you think “Coca-Cola®” whenever you hear “soft drink.” Between that perfect taste and refreshing fizz, it’s sure to give you that “ahhh” moment whenever you want it. Looking for something zero sugar? Then look no further than Coca-Cola® Zero Sugar. Whatever you’re looking for in a soda, there’s a Coca-Cola® to satisfy your taste buds. Every sip, every “ahhh,” every smile—find that feeling with Coca-Cola®. Best enjoyed ice-cold for maximum refreshment. Grab a Coca-Cola®, take a sip and find your “ahhh” moment.Enjoy Coca-Cola® <ul><li>1 bottle of Coca-Cola — the refreshing, crisp taste you know and love</li><li>Great taste since 1886</li><li>34 mg caffeine in each 355 mL serving</li><li>2 L in each bottle</li><li>This carbonated beverage is best enjoyed ice-cold for maximum refreshment</li></ul>",EA,1.66,https://assets.shop.loblaws.ca/products/20316026002/b2/en/front/20316026002_front_a06_@2.png,1.54,1.46,1.38,1.54,1.58,1.36,1.46
21191828_EA,"Pub Style Chicken Strips, Fully Cooked","<p>Janes Pub Style Chicken Strips are fully cooked breaded chicken cutlets made from white meat. With no preservatives, trans fat, or artificial flavours or colours. These convenient and delicious chicken strips are perfect for quick meals, such as chicken strip wraps or salads.</p>",EA,5.99,https://assets.shop.loblaws.ca/products/21191828/b2/en/front/21191828_front_a06_@2.png,5.57,5.27,4.97,5.57,5.69,4.91,5.27
20318694002_C12,Soda ,"Enjoy the delicious & refreshing taste of Coca-Cola with meals, on the go, or to share. Serve ice cold for maximum refreshment<ul><li>Bring home the authentic, delicious & refreshing taste of Coca-Cola</li><li>For crisp, cold taste, enjoy chilled</li><li>Made with no artificial flavors or preservatives so you get a full flavor in each sip</li><li>Convenient pack of 12 so you have plenty to enjoy</li><li>Perfect size to be enjoyed with meals, snacking or on the go</li>",C12,7.49,https://assets.shop.loblaws.ca/products/20318694002/b2/en/front/20318694002_front_a06_@2.png,6.97,6.59,6.22,6.97,7.12,6.14,6.59
20132458_EA,Sourdough Bread Boule,"<p>This San Francisco Sourdough bread has a pleasantly light sourdough flavour with a crispy crust and a soft, chewy texture. Made with clean lablel ingredients.</p><p><br></p><p>Fresh in-store baked bread</p>",EA,3.0,https://assets.shop.loblaws.ca/products/20132458/b2/en/front/20132458_front_a06_@2.png,2.79,2.64,2.49,2.79,2.85,2.46,2.64
20111926001_KG,"Plantains, Single","Plantains are larger than regular bananas, with thicker skin and less sugar. They are typically cooked when green and have a mild flavour that is similar to squash. ",KG,1.08,https://assets.shop.loblaws.ca/products/20111926001/b2/en/front/20111926001_front_a06_@2.png,1.0,0.95,0.9,1.0,1.03,0.89,0.95
20811362001_EA,"Red Onions, 3 lb Bag","Red (or Italian) onions have a reddish-purple papery skin and a mild sweet flavour. Use red onions to add colour and flavour to just about any dish. Slices of raw red onion work well in salads and as a topping for burgers, or roast and serve with sausage or flank steak.",EA,3.99,https://assets.shop.loblaws.ca/products/20811362001/b2/en/front/20811362001_front_a06_@2.png,3.71,3.51,3.31,3.71,3.79,3.27,3.51
21440622_EA,"Sourdough Loaf, Sliced","This Sourdough Loaf is freshly baked in-store and comes pre-sliced, making it convenient for immediate consumption. Perfect for making sandwiches, toast, or a side for soups and salads.",EA,3.0,https://assets.shop.loblaws.ca/products/21440622/b2/en/front/21440622_front_a06_@2.png,2.79,2.64,2.49,2.79,2.85,2.46,2.64
20307569004_C12,"Ginger Ale, 12 Pack","Canada Dry is a premium ginger ale that is crisp, clean and refreshing.  Its light, less sweet taste quenches your thirst and its natural ginger flavour soothes and comforts you. <ul><li>Canada Dry is the #1 Ginger ale nationally and dominates the ale segment. It is a trusted Canadian brand (over 100 years of heritage) with the highest brand awareness amongst all other ginger ales.   It is a sophisticated beverage (The Champagne of Ginger Ales).  Consumers associate Canada Dry Ginger Ale with having healthier attributes:</li><li>The ideal can size for pairing with individual meals or snacks</li><li>Can be enjoyed on your own or while entertaining family and friends</li><li>Best savoured chilled for the ultimate refreshing beverage experience</li></ul>",C12,7.49,https://assets.shop.loblaws.ca/products/20307569004/b2/en/front/20307569004_front_a06_@2.png,6.97,6.59,6.22,6.97,7.12,6.14,6.59
20311362001_EA,"Ginger Ale, Bottle","Canada Dry is a premium ginger ale that is crisp, clean and refreshing.  Its light, less sweet taste quenches your thirst and its natural ginger flavour soothes and comforts you. <ul><li>Canada Dry is the #1 Ginger ale nationally and dominates the ale segment. It is a trusted Canadian brand (over 100 years of heritage) with the highest brand awareness amongst all other ginger ales.   It is a sophisticated beverage (The Champagne of Ginger Ales).  Consumers associate Canada Dry Ginger Ale with having healthier attributes:</li><li>A resealable bottle for lasting enjoyment</li><li>An ideal size for pairing with family meals or while entertaining friends</li><li>Best savoured chilled for the ultimate refreshing beverage experience</li></ul>",EA,1.66,https://assets.shop.loblaws.ca/products/20311362001/b2/en/front/20311362001_front_a06_@2.png,1.54,1.46,1.38,1.54,1.58,1.36,1.46
